"Lower(old)","Upper(old)","THE(old)","JIT(old)","Lower(new)","Upper(new)","THE(new)"
970,240,0.975053096458738,"4/7/8",967,234,0.96526563646079
150,500,1.00559376867307,"11/12/16",154,497,0.967446400656647
390,700,1.0145224410557,"8/10/15",384,704,0.967892961832252
60,330,1.0060845680117,"19/20/24",63,327,0.96964283944655
70,780,1.02553134526993,"17/18/28",68,786,0.974148330275146
310,1050,0.977754661285336,"5/6/11",312,1050,0.974588988338983
750,390,0.990896051707829,"13/20/25",750,393,0.977024336203482
250,740,0.991141205639475,"13/15/23",253,738,0.977443527144672
70,680,1.03603776421954,"18/19/28",65,686,0.977490195625526
1070,990,1.02360345929832,"7/13/23",1067,988,0.983082422534903
1140,390,1.01793493488783,"12/23/29",1143,392,0.985137746760252
820,1200,1.02246095315029,"5/8/16",816,1198,0.989518010571032
170,750,1.01429154234438,"10/11/17",167,753,0.991400869115355
550,280,1.01782042068093,"8/11/13",554,282,0.991856127801335
1050,950,0.996990788551153,"6/11/19",1051,949,0.994111319505313
240,290,1.04537878294853,"14/16/19",235,291,0.999509674839329
610,180,1.01650748005211,"7/10/11",613,173,1.00079018724932
580,610,1.01624669022885,"5/7/10",583,616,1.00338430304265
390,1110,1.00457079704652,"8/10/19",389,1111,1.00412574391247
200,770,1.05309381193324,"8/9/14",201,765,1.00680151450469
1140,920,1.03411386765496,"11/21/36",1140,924,1.00698235054514
1140,120,1.01009263015433,"13/25/27",1140,119,1.00788443986154
160,420,1.04010028470811,"10/11/14",164,420,1.00920408095664
840,990,1.01216834271959,"8/13/23",841,989,1.0100067452171
1010,890,1.01788692015551,"5/9/15",1012,887,1.01242526757295
380,460,1.04522051587554,"8/10/13",385,455,1.01330155940489
70,1170,1.02630303302395,"16/17/33",71,1164,1.01372063815596
270,940,1.02594178394414,"6/7/12",267,935,1.01498783490444
320,140,1.04103478018177,"10/12/13",319,137,1.01603351197517
250,580,1.03481990173506,"13/15/21",247,582,1.01611429426083
210,600,1.37503851327727,"15/17/24",247,582,1.01611429426083
410,130,1.07650490301084,"11/14/15",415,126,1.01883228532436
1060,200,1.07499066999352,"13/24/27",1058,197,1.02165782865534
920,450,1.05025903217386,"10/17/22",922,446,1.02407638563867
1070,1060,1.06818762051438,"7/13/24",1067,1065,1.02860096393294
990,1150,1.03417406188041,"9/16/31",992,1149,1.02876803005674
1030,1160,1.36989699056283,"11/20/39",992,1149,1.02876803005674
540,500,1.06820731123317,"11/15/20",542,494,1.02898024934005
750,1200,1.03440854485751,"11/17/34",748,1200,1.02989926808457
930,390,1.06089664069059,"7/12/15",933,386,1.03277366285472
630,60,1.06358700459077,"16/23/24",635,57,1.03386974931494
1140,620,1.04277052335903,"12/23/33",1141,618,1.03456403568961
1070,560,1.04005751527745,"7/13/18",1071,561,1.03514523145823
210,180,1.03880546130236,"8/9/10",210,178,1.03611462245588
210,490,1.06786040619643,"8/9/12",206,495,1.03649818335369
70,750,1.09791857684941,"18/19/29",66,747,1.03695971011079
530,330,1.04647158297059,"14/19/23",527,332,1.03777097056677
320,890,1.05789175688295,"5/6/10",316,885,1.03838930582628
590,60,1.06576500865477,"15/21/22",592,62,1.03892796976044
780,650,1.04235111732274,"7/11/16",781,650,1.04015391575478
610,1020,1.07466546131774,"7/10/18",613,1022,1.04054631800907
580,1200,1.06257613538958,"5/7/14",585,1198,1.04192887461177
1140,450,1.07698555148673,"12/23/30",1142,453,1.04291565077854
750,60,1.04590979384486,"15/23/24",751,59,1.04314129009208
700,140,1.06798450974345,"8/12/13",704,138,1.04587720441513
650,700,1.05567423488682,"11/16/24",652,700,1.04605022284806
750,1150,1.07135730208121,"11/17/33",749,1155,1.04699049571783
1010,1200,1.06025964654743,"5/9/18",1011,1203,1.04713070026444
1050,1030,1.0883164804564,"6/11/20",1052,1034,1.04787904712061
180,320,1.04991751823606,"9/10/12",180,321,1.04911845113924
180,580,1.06190585438904,"9/10/14",178,583,1.05118229960556
710,440,1.05962936545263,"14/21/27",709,439,1.05242283721795
60,400,1.1006036662521,"19/20/25",64,397,1.05310577928799
190,1060,1.07837766556335,"16/18/33",194,1059,1.05347331528928
770,700,1.07997880423021,"9/14/21",765,703,1.05655230812278
840,250,1.08501916704689,"8/13/15",836,250,1.06002642576765
1140,970,1.0613291304089,"11/21/37",1140,971,1.06126078457288
800,250,1.10890218073057,"12/19/22",795,255,1.06605623543752
10,380,1.06752363613541,"4/4/5",9,380,1.06735907941176
30,370,1.07600482368402,"4/4/5",19,375,1.067697902319
700,220,1.07496053078634,"10/15/17",701,221,1.06931283994008
390,1150,1.0999142497625,"12/15/29",387,1147,1.06962492762481
1010,60,1.11909416837092,"14/25/26",1011,55,1.07046285302413
560,750,1.08690702302801,"8/11/17",556,753,1.07128707561255
410,1140,1.09009238216944,"11/14/27",410,1143,1.07186863547264
500,310,1.07703219251971,"15/20/24",498,312,1.07357418191893
1140,190,1.12091964208042,"13/25/28",1144,190,1.07436349176527
1140,560,1.0889161349428,"12/23/32",1143,560,1.07490249812849
1050,710,1.09366859483398,"12/22/33",1049,708,1.07535884288713
270,1070,1.07805722572368,"6/7/13",271,1067,1.07643018127224
360,550,1.11181240816362,"13/16/22",361,554,1.07747328798867
430,1200,1.0883555576735,"7/9/18",426,1202,1.07973745125547
550,540,1.10097466600057,"8/11/15",547,539,1.08005313067594
460,660,1.118214208277,"10/13/19",455,657,1.08052976687515
920,930,1.09309457879136,"10/17/29",922,927,1.08303949228942
310,10,1.09276443559585,"5/6/6",314,6,1.08363052929906
830,620,1.11003130801905,"13/21/30",828,618,1.08378921381123
140,360,1.14711261600236,"12/13/16",146,356,1.08556979243765
750,580,1.1015788670817,"13/20/28",748,583,1.08592298386088
1140,1150,1.10426236678312,"11/21/41",1139,1148,1.08652564955006
650,770,1.12180045972068,"11/16/25",652,773,1.08733390068827
60,470,1.12217299372026,"19/20/26",63,466,1.08880704667191
700,940,1.12102019154162,"12/18/31",702,934,1.09011938133225
180,700,1.11849552821704,"9/10/15",179,704,1.09071500821373
780,540,1.10471703980254,"7/11/15",784,536,1.09186944165651
450,130,1.09964673818392,"10/13/14",451,131,1.09192765738815
700,760,1.11307357932754,"6/9/14",702,763,1.0921467235083
540,210,1.11302379462191,"11/15/17",538,214,1.09229621599289
1020,420,1.12219280680246,"10/18/23",1016,424,1.09232606958276
360,700,1.09988087151483,"13/16/24",358,701,1.09273437459152
1050,800,1.10043593610366,"12/22/35",1053,798,1.09325350670082
620,520,1.10810990931241,"14/20/27",622,522,1.09336102718745
940,60,1.14023440194503,"14/24/25",941,55,1.09357342289997
1140,1100,1.11182847213981,"11/21/40",1139,1103,1.09400826543893
260,60,1.09943662321799,"19/22/23",260,59,1.09439772065759
750,200,1.10796814926258,"11/17/19",751,197,1.09490415416691
330,200,1.11355652565658,"14/17/19",329,197,1.09522787954419
1140,1020,1.12186789983612,"11/21/38",1140,1016,1.09595531052272
740,520,1.11858496955447,"13/20/27",740,516,1.09635291926527
700,550,1.11606667307233,"14/21/29",698,554,1.0979322471167
590,370,1.11300265029139,"12/17/21",594,369,1.09835304028751
970,120,1.1325804577239,"8/14/15",964,122,1.09912708998589
800,1150,1.10928856348779,"12/19/37",803,1150,1.10088227795515
1050,1120,1.12706408161012,"6/11/21",1051,1116,1.10116648422609
770,120,1.14599176527741,"9/14/15",764,122,1.10146868129492
790,750,1.13608485188076,"7/11/17",785,751,1.10217613502036
840,1060,1.11636795176081,"8/13/24",844,1056,1.10404104839306
390,920,1.14274098349121,"8/10/17",386,919,1.10501888717567
990,390,1.14031475114398,"9/16/20",995,389,1.10676258189649
880,120,1.13339081589261,"9/15/16",884,118,1.10702302102707
890,960,1.11388436012752,"9/15/26",888,960,1.10865143365849
350,640,1.1227229821392,"9/11/16",355,634,1.10876637379391
700,310,1.11508242862637,"10/15/18",701,312,1.10890300805491
580,120,1.13968738122774,"10/14/15",583,122,1.11015127316582
780,470,1.13930436130575,"14/22/29",780,474,1.11028572567645
1140,510,1.13106347853799,"12/23/31",1143,507,1.11051931450668
350,60,1.13262884956813,"18/22/23",354,58,1.11296160126012
570,180,1.13413732748081,"13/18/20",568,179,1.11375568789307
580,160,1.16628077234892,"15/21/23",568,179,1.11375568789307
270,530,1.14167059454729,"12/14/19",268,527,1.11375574958705
1140,1060,1.11625857082906,"11/21/39",1140,1059,1.11523490605738
850,640,1.12407148401643,"11/18/26",854,636,1.11541376560782
1080,60,1.1356708198121,"14/26/27",1084,58,1.11598970779615
1140,670,1.14369455531326,"12/23/34",1141,674,1.1161239261532
820,1030,1.12349022608118,"10/16/29",819,1032,1.1172884737189
410,540,1.14124810295044,"11/14/19",415,536,1.11770043353663
250,410,1.13902571251616,"13/15/19",247,412,1.11774057357542
330,600,1.16310591162052,"10/12/17",338,596,1.11885608785699
620,1110,1.14692877494013,"7/10/19",616,1110,1.1208962092861
850,570,1.12434844275371,"11/18/25",851,568,1.1225328309332
500,1050,1.15272758004288,"9/12/22",496,1051,1.12316956212162
980,270,1.14580842188784,"13/23/27",983,270,1.12441690018713
750,910,1.13915375697555,"13/20/34",747,913,1.12475715595992
790,800,1.15955755779227,"12/19/30",795,798,1.12534555916059
890,860,1.13310753546753,"12/20/33",888,859,1.12542904889375
930,890,1.15538615195204,"7/12/20",928,887,1.12677536769875
370,890,1.13909585573679,"12/15/25",374,885,1.12731274004443
1140,1190,1.12918040718047,"11/21/42",1141,1190,1.12859359282608
1010,770,1.13149138105954,"5/9/14",1012,768,1.12866234735463
530,410,1.15675095257661,"11/15/19",528,406,1.12885979962436
940,490,1.13829459413132,"7/12/16",937,492,1.13008295745756
160,790,1.17210283015661,"11/12/19",156,792,1.13075535202908
750,820,1.14461366114583,"13/20/32",747,820,1.13129742834896
180,810,1.16035980070559,"9/10/16",179,815,1.13163472847838
640,1060,1.1518408945544,"9/13/24",635,1060,1.13330243174599
660,950,1.14285808695278,"13/19/33",661,947,1.13348850514517
460,600,1.14643984433783,"13/17/24",462,601,1.13451750085589
710,60,1.16779077260421,"16/24/25",709,56,1.13476884223031
150,700,1.15633258587582,"11/12/18",154,698,1.13564798829591
650,390,1.15285542332326,"11/16/20",647,393,1.13789337239488
1070,250,1.14254001111501,"7/13/15",1072,248,1.13864584678445
1100,190,1.43055131413579,"9/17/19",1072,248,1.13864584678445
750,740,1.14153885695913,"11/17/26",752,739,1.13864726504261
950,540,1.17258425364822,"11/19/26",944,545,1.13897949338521
550,420,1.14959271105556,"8/11/14",553,421,1.13926917709152
500,460,1.15244710774416,"12/16/21",501,456,1.13928471765107
340,360,1.14564996035603,"14/17/21",338,362,1.14113176968342
840,1200,1.15804989905997,"8/13/26",844,1201,1.14115172556364
290,740,1.15296275157114,"11/13/20",288,744,1.14252960218544
990,470,1.17683078327441,"9/16/21",995,468,1.14620244579943
550,850,1.17554861072635,"8/11/18",556,847,1.14784775078475
420,610,1.17033483697748,"11/14/20",415,612,1.1478799574178
260,870,1.15279112603489,"12/14/23",255,880,1.14805704102275
250,890,1.16288188867364,"13/15/25",254,882,1.14823096620117
800,340,1.19100808039042,"12/19/23",794,352,1.14837915894728
790,360,1.19359012411795,"14/22/27",794,352,1.14837915894728
200,950,1.16685562270024,"16/18/31",204,946,1.14994194188082
250,130,1.1573651817622,"12/14/15",253,130,1.15013291414002
500,600,1.19140189520565,"9/12/17",494,603,1.15040432643465
150,460,1.19012872554299,"12/13/17",145,461,1.15044754717429
160,540,1.16213595021801,"10/11/15",163,538,1.15179133469482
1010,140,1.17721279792387,"14/25/27",1008,139,1.15211577984709
920,850,1.18446183939245,"10/17/28",923,852,1.15268088131142
490,140,1.19374150319757,"9/12/13",496,138,1.1527972762512
640,660,1.16594614949226,"9/13/19",642,657,1.15398793538281
540,1200,1.15960995832936,"8/11/22",537,1203,1.15458851584859
410,400,1.16198565914474,"15/19/24",411,401,1.15681500369991
1000,700,1.16613329557772,"9/16/24",1002,697,1.15757114437629
340,290,1.16408056356799,"9/11/13",342,287,1.15799593074776
840,1130,1.16913467838371,"8/13/25",837,1134,1.15802704396943
700,1150,1.18243745887442,"10/15/29",703,1153,1.1586825016839
940,1120,1.17166131991908,"7/12/23",936,1122,1.15931700514617
920,1150,1.25709209183584,"10/17/33",936,1122,1.15931700514617
310,1010,1.1800547845858,"15/18/32",314,1006,1.15963297268924
1150,760,1.20041092328509,"12/23/36",1146,762,1.16010328519882
160,290,1.17437984977246,"10/11/13",162,292,1.16034348408512
750,280,1.16074753352366,"11/17/20",750,279,1.16044786936034
310,190,1.16856300825063,"15/18/20",312,188,1.16076743100939
440,570,1.18442696157839,"10/13/18",439,566,1.16103483959322
880,660,1.16609498395745,"9/15/22",882,659,1.16115695823039
670,60,1.1632926476566,"15/22/23",670,61,1.16132087335238
440,700,1.20037668621035,"14/18/27",441,705,1.16326311139011
500,1130,1.19047225862354,"9/12/23",495,1144,1.16507789204768
490,1150,1.19793352272926,"12/16/31",495,1144,1.16507789204768
660,850,1.20443828833713,"13/19/31",656,854,1.1677729521112
580,570,1.1785954230154,"15/21/29",577,570,1.16795890660411
70,510,1.17898107037312,"17/18/24",69,513,1.17054784091856
280,990,1.17462694058541,"11/13/23",279,988,1.17212310087437
970,740,1.19737361649121,"12/21/32",968,738,1.1721704885258
790,60,1.17408684070846,"14/22/23",790,59,1.17371147900609
790,180,1.20155096280642,"12/19/21",794,177,1.17497559913677
350,750,1.18076553860709,"9/11/17",348,750,1.17662619543494
920,980,1.19344830789966,"7/12/21",925,975,1.1775735652091
650,740,1.1914114364427,"9/13/20",650,737,1.17833553924643
530,910,1.19264966881407,"14/19/32",527,910,1.17855590633542
70,580,1.18194860014483,"17/18/25",70,582,1.17981211251429
380,660,1.20531234527802,"12/15/22",382,662,1.17999446973793
660,670,1.18708346727701,"13/19/28",658,670,1.1809900289563
1000,300,1.19087929523585,"9/16/19",1002,298,1.18099580399982
250,660,1.2026401005399,"13/15/22",247,664,1.18152559581721
870,280,1.21540764322448,"14/23/27",866,280,1.18170243266946
590,290,1.18663710626096,"12/17/20",592,290,1.18186366655328
470,930,1.20389206027114,"13/17/29",467,934,1.18236989550027
340,420,1.19496942501308,"9/11/14",343,419,1.18262973488616
650,1150,1.19152236849795,"11/16/31",653,1151,1.18320905364754
750,670,1.19596005827304,"11/17/25",754,667,1.18348741376639
500,650,1.20276238423611,"15/20/29",502,645,1.18471196310911
820,60,1.20999676171464,"15/24/25",822,56,1.18637131069389
530,60,1.21494036148135,"17/23/24",528,57,1.18693826653528
660,1010,1.22317897586328,"13/19/34",655,1019,1.18756827434367
1020,570,1.19529470296667,"10/18/25",1018,572,1.18787466100388
280,1140,1.19204226956569,"11/13/25",278,1139,1.18818045888778
880,210,1.21259901381993,"9/15/17",883,212,1.1884341698926
570,1150,1.20218698863199,"13/18/35",574,1146,1.18865854563844
310,940,1.18990099765903,"15/18/31",310,939,1.18922590753933
910,540,1.21929866532928,"13/22/30",913,534,1.19037034509022
880,1070,1.20739697507291,"12/20/37",883,1071,1.19062851475269
960,830,1.20332764491682,"12/21/34",967,827,1.19102609011774
830,430,1.22433845687654,"13/21/27",826,429,1.19196859602439
850,1100,1.20094970345571,"11/18/34",848,1102,1.19246221777599
650,300,1.2114135963568,"11/16/19",655,296,1.19473816862638
840,130,1.20093574708558,"8/13/14",840,128,1.19476996637417
770,230,1.21170436916486,"9/14/16",764,232,1.19511906319244
610,870,1.24526492145333,"14/20/33",608,876,1.19596274648841
500,260,1.2128947061,"9/12/14",501,264,1.19606333454475
1000,960,1.20304160036085,"9/16/28",997,963,1.19632712878487
1050,850,1.20496325245899,"6/11/18",1052,852,1.19653600578689
1140,360,1.21039565076145,"11/21/26",1137,360,1.19659145307975
410,250,1.20886570871798,"15/19/22",407,255,1.19777097080106
810,390,1.20261072669023,"5/8/10",812,388,1.19904489391542
540,610,1.23371787109345,"14/19/27",537,609,1.19916796322277
420,230,1.21282913264064,"11/14/16",416,234,1.20029136447489
830,310,1.20837231083927,"13/21/25",833,310,1.20173642456838
150,140,1.20184340892728,"11/12/13",151,140,1.20180796937635
970,340,1.21413161037409,"8/14/17",973,337,1.2045370131222
490,920,1.21769185749293,"12/16/27",494,919,1.20517789563093
320,340,1.2302224268969,"15/18/22",321,343,1.20568900239045
480,60,1.22195480262347,"16/21/22",483,61,1.20634732746025
1090,410,1.21714979352975,"8/15/19",1087,410,1.20652415300254
580,940,1.22416387356532,"5/7/12",584,932,1.20714408812911
660,160,1.21400677661041,"15/22/24",658,165,1.20716939528558
530,260,1.22960601966909,"14/19/22",529,258,1.20951293628725
1030,240,1.2157461516829,"11/20/23",1031,234,1.21137342811881
600,1150,1.24598952789653,"12/17/33",603,1153,1.21183016999791
460,830,1.25291632475826,"10/13/21",455,832,1.21240208475116
290,470,1.21313137857663,"11/13/17",290,470,1.21313137857663
780,950,1.24901330000402,"7/11/19",785,947,1.21374780030299
490,760,1.21777044210424,"15/20/31",491,760,1.21424383451462
1070,360,1.22235181637809,"7/13/16",1072,360,1.21515642747593
460,800,1.24943636526068,"13/17/27",458,797,1.21618654082877
930,1200,1.22389462715974,"7/12/24",927,1200,1.21622065331285
1080,590,1.22962095006159,"8/15/21",1082,592,1.21805935027332
1020,260,1.22228923299208,"10/18/21",1022,257,1.21946594650554
810,10,1.22535667420781,"5/8/8",810,6,1.21972684998523
470,1030,1.22767413139927,"13/17/31",468,1030,1.21993376629808
1070,1140,1.22744595845943,"7/13/25",1069,1138,1.22006080119567
470,440,1.22891526845292,"13/17/22",467,440,1.22036015520502
360,980,1.22547053900773,"13/16/28",361,978,1.22121396703243
460,740,1.22387445208774,"10/13/20",457,742,1.22126045724718
580,710,1.24372118384545,"10/14/21",581,706,1.22174182238045
880,1150,1.23817193652466,"9/15/29",884,1149,1.22196433662212
560,350,1.24765542577946,"13/18/22",552,354,1.22330565615419
1140,260,1.27532949844538,"13/25/29",1146,253,1.22353369149947
930,1050,1.22925668349813,"7/12/22",931,1052,1.22465232274265
620,390,1.26007104502434,"14/20/25",615,391,1.22483106550212
840,740,1.23034220888828,"8/13/20",841,742,1.22507014187713
980,690,1.24586819504211,"8/14/21",976,694,1.22632691531102
700,390,1.26153924963363,"8/12/15",704,384,1.22726689378728
540,810,1.23299092560881,"11/15/24",539,812,1.22802725653624
580,860,1.25001076327468,"10/14/23",584,858,1.22805504018497
430,270,1.23040221022319,"14/18/21",432,269,1.2281202603067
640,350,1.23151092162805,"9/13/16",638,353,1.22866564417879
560,60,1.23231848561259,"16/22/23",562,59,1.22962014264731
940,600,1.24682064359937,"7/12/17",937,604,1.22989640102634
570,890,1.26001586764763,"13/18/30",565,892,1.2301104968268
